gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,group
MYOF,2.70E-27,3.818038705,0.886,0.571,9.15E-23,UP
GPX1,1.78E-37,3.789289282,1,0.757,6.05E-33,UP
BIN2,5.99E-15,3.787480287,0.843,0.243,2.03E-10,UP
RNASE2,3.04E-11,3.777607579,0.357,0,1.03E-06,DIFF
ARHGAP31,4.03E-11,3.763253528,0.857,0.243,1.37E-06,UP
MCM5,1.65E-20,3.759281182,0.557,0.129,5.61E-16,UP
RAB7B,5.06E-14,3.738167339,0.686,0.257,1.71E-09,DIFF
HLA-B,7.83E-28,3.730607506,1,0.614,2.65E-23,UP
CRYBB1,3.57E-22,3.729910837,0.6,0.029,1.21E-17,DIFF
ZFP36L2,1.31E-14,3.728433961,0.8,0.1,4.45E-10,UP
LILRB1,2.40E-25,3.728303793,0.629,0.014,8.14E-21,UP
CSF1R,6.55E-29,3.718976488,1,0.5,2.22E-24,UP
HTRA1,1.19E-19,3.718250478,0.986,0.443,4.04E-15,UP
PSMB9,2.21E-18,3.717774329,0.5,0,7.49E-14,DIFF
B2M,1.71E-32,3.705741154,1,0.757,5.79E-28,UP
GEM,1.78E-05,3.696371619,0.543,0.114,0.603670042,DIFF
CCL1,NA,3.690895945,0.171,0,NA,NO
LINC01366,4.60E-14,3.686100279,0.457,0,1.56E-09,DIFF
CMTM3,1.19E-17,3.677521993,0.8,0.143,4.02E-13,DIFF
CAPG,1.21E-18,3.677093118,0.986,0.243,4.12E-14,DIFF
FERMT3,2.87E-19,3.671182175,0.829,0.286,9.71E-15,DIFF
RIN2,2.69E-18,3.66962024,0.929,0.643,9.11E-14,UP
SLAMF7,NA,3.660250628,0.2,0.029,NA,NO
SLAMF1,0.000187769,3.651121375,0.271,0.029,1,DIFF
CTSL,1.22E-14,3.636170435,0.943,0.514,4.12E-10,DIFF
TRIM38,3.03E-18,3.63047716,0.586,0.086,1.02E-13,UP
LINC01268,3.38E-14,3.629196472,0.457,0.029,1.14E-09,UP
SQRDL,3.87E-18,3.627153311,0.8,0.286,1.31E-13,DIFF
APOBEC3G,2.23E-13,3.623436649,0.4,0.043,7.57E-09,DIFF
CNPY3,5.14E-25,3.622061949,0.986,0.386,1.74E-20,UP
CYTL1,2.06E-12,3.613645255,0.443,0.014,6.96E-08,UP
SLC11A1,6.69E-10,3.613199169,0.871,0.1,2.27E-05,UP
HCST,1.84E-17,3.607911646,0.986,0.129,6.23E-13,UP
GMFG,NA,3.596693438,0.929,0.143,NA,NO
CDKN2B,2.87E-07,3.592379972,0.314,0.029,0.009739602,DIFF
HLA-DPB1,1.42E-15,3.585102943,0.986,0.257,4.81E-11,UP
METRNL,1.12E-33,3.584962501,0.814,0.086,3.80E-29,DIFF
TMIGD2,1.08E-22,3.584962501,0.814,0.157,3.65E-18,DIFF
SELPLG,4.35E-14,3.577567841,0.771,0.171,1.47E-09,UP
B3GNT5,3.91E-16,3.572165348,0.857,0.286,1.32E-11,UP
IL6,0.000144246,3.565632558,0.543,0.071,1,DIFF
FCGBP,NA,3.557278942,0.414,0.257,NA,NO
IL4I1,2.61E-11,3.544148038,0.7,0.2,8.83E-07,DIFF
CECR1,3.27E-16,3.541935896,0.671,0.429,1.11E-11,UP
CD300LB,1.19E-11,3.54016817,0.614,0.114,4.05E-07,DIFF
HMOX1,1.84E-10,3.533892792,0.643,0.186,6.24E-06,DIFF
RNF144B,2.37E-12,3.512634367,0.743,0.414,8.02E-08,DIFF
POPDC2,2.46E-13,3.503030646,0.429,0.014,8.34E-09,DIFF
RHOC,4.50E-14,3.496875791,0.914,0.329,1.52E-09,DIFF
CLEC5A,1.43E-06,3.488857733,0.257,0.014,0.048561415,DIFF
HCK,3.16E-14,3.487938046,0.829,0.314,1.07E-09,UP
ABCG2,1.38E-21,3.479550261,0.8,0.586,4.66E-17,DIFF
TMEM52B,7.19E-18,3.478047297,0.871,0.214,2.44E-13,UP
CDKN2A,4.81E-17,3.469358459,0.471,0.057,1.63E-12,DIFF
FAM26F,4.51E-16,3.46792308,0.471,0.029,1.53E-11,DIFF
PDPN,3.68E-15,3.465539197,0.843,0.271,1.25E-10,DIFF
HOMER3,8.54E-26,3.463246592,0.8,0.114,2.89E-21,DIFF
CD33,9.39E-16,3.463070196,0.429,0.029,3.18E-11,UP
HLA-DOA,1.35E-15,3.455679484,0.486,0,4.56E-11,DIFF
TFEC,2.95E-22,3.454601701,0.643,0.329,1.00E-17,UP
NFKBIZ,3.96E-13,3.451961837,0.914,0.271,1.34E-08,DIFF
FTLP3,4.29E-40,3.451647642,0.986,0.743,1.45E-35,DIFF
ANXA5,2.85E-26,3.45113084,0.971,0.586,9.64E-22,DIFF
CASP4,6.34E-14,3.450032921,0.443,0,2.15E-09,DIFF
TLR1,2.13E-13,3.446734551,0.471,0.014,7.20E-09,UP
IFNGR2,1.57E-24,3.439482748,1,0.629,5.31E-20,UP
TMBIM1,1.47E-10,3.430087657,0.814,0.086,4.98E-06,DIFF
SH3TC1,1.19E-07,3.428404723,0.614,0.086,0.004047566,UP
LPCAT2,3.66E-12,3.427272951,0.843,0.186,1.24E-07,UP
FKBP5,3.70E-13,3.425202622,0.871,0.6,1.25E-08,UP
CD300C,1.00E-10,3.421329245,0.614,0.057,3.39E-06,DIFF
AXL,1.79E-27,3.410657013,0.8,0.343,6.06E-23,UP
TBXAS1,9.94E-14,3.40555325,0.871,0.443,3.37E-09,UP
ADGRE5,2.72E-11,3.39746749,0.629,0.386,9.22E-07,DIFF
IL4R,1.27E-18,3.396396502,0.871,0.4,4.29E-14,UP
RAB13,2.36E-12,3.396286325,0.714,0.071,7.99E-08,DIFF
PLTP,1.59E-11,3.366581113,0.786,0.257,5.40E-07,DIFF
CORO1B,3.23E-12,3.364053571,0.786,0.071,1.09E-07,DIFF
PADI2,6.97E-13,3.363571603,0.686,0.257,2.36E-08,UP
PFN1,2.50E-39,3.36057959,1,0.814,8.47E-35,UP
IRF5,1.72E-11,3.35464367,0.686,0.129,5.83E-07,UP
IFIT2,NA,3.346661241,0.271,0.186,NA,NO
CCR5,3.75E-08,3.345774837,0.614,0.029,0.001271806,DIFF
HLA-DRB6,6.81E-45,3.343341401,0.986,0.214,2.31E-40,UP
EVI2A,2.79E-16,3.340911198,0.843,0.229,9.46E-12,UP
AMPD3,2.08E-10,3.339582545,0.686,0.286,7.03E-06,DIFF
NCF2,3.32E-11,3.330631473,0.729,0.2,1.13E-06,DIFF
MAFB,9.19E-10,3.32897301,0.629,0.1,3.11E-05,DIFF
CARD16,9.08E-14,3.323850407,0.443,0.014,3.08E-09,DIFF
CXorf21,3.33E-09,3.320424504,0.386,0.057,0.000112729,DIFF
HAAO,2.01E-14,3.309508836,0.471,0,6.79E-10,DIFF
HLA-A,4.21E-16,3.30798652,0.986,0.429,1.43E-11,UP
SIGLEC9,1.78E-13,3.306860647,0.414,0.057,6.03E-09,DIFF
PTP4A2P2,4.23E-10,3.303560708,0.514,0.129,1.43E-05,DIFF
ORMDL2,1.74E-11,3.299629428,0.614,0.057,5.88E-07,DIFF
FGD2,1.54E-13,3.293991218,0.429,0.029,5.22E-09,UP
SPI1,1.49E-30,3.292064912,1,0.529,5.04E-26,UP
MPEG1,1.11E-11,3.288569498,0.4,0,3.76E-07,DIFF
FTH1,1.17E-54,3.280385913,1,0.986,3.98E-50,DIFF
RNASET2,9.83E-21,3.279892412,1,0.629,3.33E-16,UP
TNFRSF12A,2.67E-09,3.274159055,0.771,0.157,9.04E-05,DIFF
