"","sample_id","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","Glutamatergic","Astro","Endo","GABAergic","Microglia","Oligo","Peri","SMC","VLMC","QC_pass"
"1177","20190827_sample_4","GABAergic","Sst_on",115.554418406685,0.538363885511009,NA,0.198183053408231,-0.0137006683289298,0.00818581794683589,NA,-Inf,0.375792940463522,-0.0188371964791601,NA,NA,0.0286535514481003,TRUE
"1178","20190827_sample_5","Glutamatergic","L5.IT_on",80.4532569214581,0.37112173564612,NA,0.337514973746305,-Inf,0.0463446674404353,NA,0.00446311788842311,0.0260849397171118,0.0519685982863514,NA,NA,0.00271879800039024,FALSE
"1179","20190827_sample_6","GABAergic","Sst_on",185.774411016144,0.865516309304402,NA,0.468683955231093,0.0403560947770173,0.000523335438891064,NA,-Inf,0.0281417631411366,0.044755165283547,NA,NA,-0.0207710763037063,TRUE
"1180","20190827_sample_7","GABAergic","Sst_on",153.24734542248,0.713973878831111,NA,0.301030520737058,0.0524435636542814,-0.00142327451951372,NA,-Inf,0.24076432696238,0.0921860357608879,NA,NA,0.0166020041115288,TRUE
"1181","20190827_sample_8","GABAergic","Sst_on",138.651903006987,0.645974236775864,NA,0.348731412244657,0.209804697637479,0.268177210257765,NA,-Inf,0.167098258267108,0.0760791449499457,NA,NA,0.012251541003323,TRUE
"1182","20190827_sample_9","GABAergic","Sst_on",121.56658185844,0.566374339121037,NA,0.422618137570571,0.00286741466813148,0.00517584519678464,NA,-Inf,0.00257796302626271,-0.0185723690266686,NA,NA,-0.0224528940183892,TRUE
"1183","20190828_sample_1","GABAergic","Vip_on",206.759347249708,0.963284373595472,NA,0.396778528309609,-0.0407911525978779,0.0586641186235961,NA,-Inf,0.0626431397188513,0.0153750277888055,NA,NA,-0.0114344781827341,TRUE
"1184","20190828_sample_3","GABAergic","Vip_on",146.183221355829,0.681062378494798,NA,0.29515526577034,0.0344030285231734,0.00350182479663229,NA,-Inf,0.263820705828006,0.00720307520193333,NA,NA,-0.00392465363556123,TRUE
"1185","20190828_sample_4","GABAergic","Vip_on",154.158629386589,0.71821951809343,NA,0.32779591442529,-0.0258707007160237,0.0209936123945794,NA,-Inf,0.0787096212204566,0.0280797850673423,NA,NA,-0.00263587554829269,TRUE
"1186","20190828_sample_5","GABAergic","Vip_on",175.606582598115,0.818144761856737,NA,0.385008317331776,0.0957186441695776,0.0854165533477992,NA,-Inf,0.0685705229695576,0.0665274354779289,NA,NA,0.00236532947296012,TRUE
"1187","20190828_sample_6","GABAergic","Vip_on",149.956110665358,0.698640134294083,NA,0.342520530795431,-0.00626199928495853,-0.0477155664494507,NA,-Inf,0.0895629427246752,0.0676387799790297,NA,NA,0.0303779274918129,TRUE
"1188","20190828_sample_7","GABAergic","Vip_on",196.164635188957,0.913923990586819,NA,0.487832832032294,0.381982893061328,0.0406968920886726,NA,-Inf,0.028987370482836,0.0421050976559207,NA,NA,0.00478544958548466,TRUE
"1189","20190829_sample_1","GABAergic","Lamp5_on",35.0631860159916,0.163358124442539,NA,0.215685554286625,-0.10435366238896,-0.0467795819224205,NA,-Inf,0.00257796302626271,0.0446939347813398,NA,NA,-0.0288582767598218,FALSE
"1190","20190829_sample_2","GABAergic","Lamp5_on",178.165418851668,0.830066288067887,NA,0.405329028986711,0.10684716301024,0.0127777115851729,NA,-Inf,0.0157144574750218,0.00599572622736482,NA,NA,0.011066631730057,TRUE
"1191","20190829_sample_3","Glutamatergic","L6.IT_on",181.581396032456,0.837614354412006,NA,0.475278083384188,-Inf,0.0793138964671764,NA,0.0729053110740455,0.11119514291473,0.0179650850052665,NA,NA,0.0316767668468044,TRUE
"1192","20190829_sample_4","GABAergic","Lamp5_on",92.4892099793053,0.430903907776683,NA,0.196886344161092,0.1140507050734,0.0210679426922727,NA,-Inf,0.229493525258279,0.0212643338704487,NA,NA,-0.0144520511628401,TRUE
"1193","20190829_sample_6","GABAergic","Lamp5_on",149.913037643732,0.698439458633186,NA,0.22933406066327,-0.0517455697005693,0.00850493984294121,NA,-Inf,0.487121838605432,0.00684500288979267,NA,NA,0.00469551323211078,TRUE
"1194","20190829_sample_9","GABAergic","Pvalb_on",148.762533359509,0.693079300490453,NA,0.385302331486718,-0.00213839444133259,0.0776050833170215,NA,-Inf,0.0980491664396865,0.0221069459414396,NA,NA,0.0061390402535932,TRUE
"1195","20190830_sample_1","Glutamatergic","L6.IT_on",142.831264212691,0.658864397881266,NA,0.447645035521681,-Inf,0.0295259245601747,NA,0.0418698482535236,0.0310423864333334,0.0432477134796597,NA,NA,0.00119859367736284,TRUE
"1196","20190830_sample_2","Glutamatergic","L5.IT_on",170.798711145278,0.787875053812143,NA,0.385930041768516,-Inf,0.0601653249488907,NA,-0.0159840415888612,0.217369018622644,0.0355974616120311,NA,NA,-0.00248346463002305,TRUE
"1197","20190830_sample_3","Glutamatergic","L4_on",71.3813714455475,0.329274158403976,NA,0.157416000302778,-Inf,0.150155793273161,NA,0.0144667787212091,0.0962174325247521,0.0381489215615147,NA,NA,-0.0274002551314164,FALSE
"1198","20190830_sample_4","Glutamatergic","L6.CT_on",39.7137956013605,0.183195228094502,NA,0.119455397219262,-Inf,0.310969276372375,NA,-0.00719575099299926,0.365882387211879,0.0580687509494277,NA,NA,0.0210860135022692,FALSE
"1199","20190830_sample_6","Glutamatergic","L5.IT_on",189.505386254061,0.874166821233282,NA,0.483477528968483,-Inf,0.0344408328249456,NA,0.127927408378411,0.0529760639462589,0.0492689195357048,NA,NA,0.0343727417136217,TRUE
"1200","20190830_sample_8","Glutamatergic","L4_on",185.920273156135,0.857629101738731,NA,0.456056376919257,-Inf,0.044582638452129,NA,0.0381193144019495,0.157976283372128,0.0655978922678171,NA,NA,-0.00573369511006721,TRUE
"1201","20190830_sample_9","Glutamatergic","NP_on",118.961217221934,0.54875458246618,NA,0.364050109380267,-Inf,0.0418108235196635,NA,0.0558569791414272,0.135651551339575,0.0381068912720674,NA,NA,0.0422951562720041,TRUE
"1202","20190904_sample_1","GABAergic","Sncg_on",48.9996089150383,0.22828741823769,NA,0.308576518309973,-0.0801109044402256,-0.00134162238179128,NA,-Inf,0.00257796302626271,-0.0263223581389082,NA,NA,-0.0209188342544991,FALSE
"1203","20190904_sample_2","GABAergic","Vip_on",209.27689372524,0.975013532213639,NA,0.380107560131977,-0.0598118740656498,-0.02268713048558,NA,-Inf,0.0570431716933678,0.0363777583526321,NA,NA,-0.000633690507331319,TRUE
"1204","20190904_sample_3","GABAergic","Vip_on",219.047641803363,1.02053509661782,NA,0.422457917693693,0.0453770699697017,0.0145567447398975,NA,Inf,0.062250652664204,0.0188668108131481,NA,NA,0.00409461972749893,TRUE
"1205","20190904_sample_4","GABAergic","Vip_on",219.644363298422,1.02331520063355,NA,0.476655072694006,0.0200687598043395,0.0529278845821135,NA,Inf,0.0206037652814375,-0.00457801567279018,NA,NA,0.016367289909912,TRUE
