"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1900","NEU1",2.42846594491062e-11,-4.36002788482226,0.014,0.2,8.22812831454617e-07
"1901","ABCD2",2.50808709182512e-11,-4.73214857786843,0.143,0.6,8.49790068452187e-07
"1902","HADHA",2.52113563346016e-11,1.77788329678018,1,0.943,8.54211175328971e-07
"1903","TCTN2",2.54387249905244e-11,-3.31306811796713,0.3,0.586,8.61914880128947e-07
"1904","PLEKHA5",2.57180350354931e-11,-3.84583833074141,0.757,1,8.71378463072576e-07
"1905","MAPK6",2.74160982004928e-11,-3.96891468713273,0.314,0.757,9.28912239229097e-07
"1906","EPHB1",2.76438575848587e-11,-3.95602019816569,0.514,0.9,9.36629182690183e-07
"1907","FGFR2",3.01211138838526e-11,-4.03348126988055,0.386,0.614,1.02056358061269e-06
"1908","TNFRSF10B",3.02072490677984e-11,5.06902855903333,0.3,0.271,1.02348201291514e-06
"1909","TMC8",3.04998679183559e-11,6.50335412591103,0.243,0.071,1.03339652480973e-06
"1910","TTN",3.20973826082746e-11,-5.48112668973662,0.114,0.757,1.08752351753356e-06
"1911","KIFC2",3.35137737230217e-11,-4.34391137101705,0.014,0.657,1.13551368128342e-06
"1912","FAM129A",3.3613197956442e-11,4.77992242151773,0.457,0.429,1.13888237316017e-06
"1913","CARD8",3.38555123902814e-11,4.59543038031238,0.471,0.286,1.14709247080751e-06
"1914","NPL",3.43478933600724e-11,4.45420224459379,0.671,0.271,1.16377532282597e-06
"1915","FHIT",3.4393887600527e-11,1.713192246595,0.914,1,1.16533369968106e-06
"1916","DIP2B",3.46162275996445e-11,1.51181267014173,0.886,0.986,1.17286702353115e-06
"1917","LRMP",3.51391072624038e-11,4.17213349026378,0.6,0.329,1.19058323226477e-06
"1918","SPEF1",3.53194634474377e-11,-4.8325334850536,0.014,0.414,1.19669406052608e-06
"1919","AHI1",3.54110648107248e-11,-4.18991080877521,0.814,1,1.19979769791698e-06
"1920","AGBL1",3.60723682652526e-11,-4.30293056990538,0.7,0.929,1.22220398156329e-06
"1921","ST3GAL2",3.61367544226784e-11,-2.86274349192414,0.6,0.786,1.22438551334919e-06
"1922","SPRED1",3.7259226184153e-11,1.99624591242534,0.757,0.929,1.26241710157147e-06
"1923","ITM2B",3.80751644247529e-11,2.36246409238489,0.914,0.857,1.29006272103948e-06
"1924","CALB1",3.8695269396204e-11,-4.45154083301783,0.029,0.3,1.31107311768218e-06
"1925","DTX3",3.97920684267687e-11,-3.69587181445938,0.057,0.714,1.34823486243578e-06
"1926","MARC1",4.08461011318317e-11,-4.67281279867878,0.029,0.414,1.38394759854872e-06
"1927","TEP1",4.1668261320893e-11,3.69021556470879,0.471,0.543,1.4118040300745e-06
"1928","FAM85A",4.25290643551279e-11,-3.12162944440153,0.171,0.643,1.44096975848044e-06
"1929","KLHL11",4.49597857090216e-11,-4.57850747858386,0.1,0.371,1.52332745939307e-06
"1930","PFKM",4.60792405042749e-11,-5.21986998157429,0.157,0.671,1.56125682676584e-06
"1931","POU6F2",4.71875038126487e-11,-4.89122365408267,0.414,0.671,1.59880700418016e-06
"1932","FSHR",4.9826948474133e-11,-3.52874050475635,0.457,0.657,1.68823666820057e-06
"1933","HS6ST2",5.01041911895006e-11,-3.89573518575889,0.414,0.714,1.69763020588266e-06
"1934","CERKL",5.03777598230435e-11,-4.49780543088325,0.143,0.329,1.70689925832436e-06
"1935","C17orf51",5.12479317551651e-11,-3.64476867832322,0.343,0.8,1.7363824237285e-06
"1936","SAMD3",5.20716484730089e-11,-4.83610775176954,0.214,0.414,1.76429159356249e-06
"1937","C9orf24",5.21038604113891e-11,-4.70699577858673,0.057,0.386,1.76538299845869e-06
"1938","CHDH",5.29902055616701e-11,-4.50514991894313,0.029,0.229,1.79541414484051e-06
"1939","LINC01359",5.32713367821374e-11,-4.06495544184077,0.086,0.457,1.80493943285238e-06
"1940","IKZF4",5.48453255631918e-11,-4.45852053869487,0.029,0.443,1.85826932073207e-06
"1941","IL17F",5.58060010469568e-11,1.10187961401921,0.471,0.143,1.89081892747299e-06
"1942","TMCO6",5.60778411319914e-11,3.99988585821895,0.386,0.457,1.90002941323413e-06
"1943","PABPC1",5.64674070115734e-11,2.12976264208855,0.786,0.843,1.91322868436613e-06
"1944","ANKRD20A8P",5.68110038356834e-11,-3.70719076013217,0.1,0.571,1.92487043196062e-06
"1945","BCL2L14",6.06729245876295e-11,-3.36008908988095,0.271,0.529,2.05572003087806e-06
"1946","CCND3",6.14419666302062e-11,2.29926913612495,0.686,0.757,2.08177671336465e-06
"1947","KCNC4",6.20859523766625e-11,-3.74660089097851,0.186,0.514,2.10359623842608e-06
"1948","BCO1",6.24492647582994e-11,-3.47150445093787,0.457,0.643,2.1159059885407e-06
"1949","SPTLC2",6.43078319212912e-11,2.45975162729839,0.757,0.786,2.17887796115719e-06
"1950","GALNT3",6.53355335048612e-11,-4.7785796558465,0.114,0.3,2.21369854621171e-06
"1951","SLC15A2",6.63601311491424e-11,3.38607253850603,0.6,0.529,2.24841396359524e-06
"1952","WWC1",6.81590394888999e-11,-3.91925984164315,0.414,0.871,2.30936457596291e-06
"1953","STEAP2-AS1",7.23938425502079e-11,-3.82657624023254,0.357,0.814,2.45284817328614e-06
"1954","HLA-C",7.84327105654241e-11,4.97915233783269,0.457,0.086,2.6574570993777e-06
"1955","CEP85",7.93787316155092e-11,-3.63508598014699,0.214,0.571,2.68951018459668e-06
"1956","IKBKB",8.73039047069256e-11,2.64228418671804,0.629,0.586,2.95803089928005e-06
"1957","LINC01484",8.94781795602577e-11,-4.85996954822103,0.057,0.371,3.03169967986065e-06
"1958","ARHGEF6",9.11148893176862e-11,3.77421910367185,0.6,0.443,3.08715467986184e-06
"1959","FBXO31",9.88358084309056e-11,-4.11499252228993,0.157,0.614,3.34875486125594e-06
"1960","AXIN2",1.0178028603496e-10,-4.27721190943964,0.086,0.414,3.44851965143652e-06
"1961","WNT10B",1.07726145892663e-10,-4.22094028730254,0.014,0.414,3.6499772751352e-06
"1962","PRSS52P",1.09058908233617e-10,-4.66729553284842,0.1,0.9,3.69513392877142e-06
"1963","FNDC5",1.13474785257474e-10,-4.37926126995331,0.029,0.257,3.84475267409375e-06
