"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"250","Fhl1",0,-7.94391721461633,0.045,0.944,0
"251","Fkbp3",0,-3.34695716489456,0.494,1,0
"252","Flywch1",0,-5.12744306947029,0.107,0.943,0
"253","Fndc4",0,-6.96261143562073,0.062,0.945,0
"254","Fndc5",0,-8.14503630035512,0.051,0.948,0
"255","Fndc7",0,4.37909348945364,0.371,0.64,0
"256","Foxg1",0,-6.56954298248971,0.017,0.93,0
"257","Frmd5",0,-8.07381035772734,0.258,0.998,0
"258","Frrs1l",0,-6.91779765247413,0.062,0.92,0
"259","Fth1",0,1.62156981082335,1,1,0
"260","Ftl1",0,3.08266915547522,1,0.999,0
"261","Ftl2",0,2.58038939994933,1,0.933,0
"262","Fuom",0,-5.62912318331909,0.062,0.918,0
"263","Fut9",0,-7.68727660506519,0.14,0.874,0
"264","Gabarapl1",0,-5.52502087201516,0.371,1,0
"265","Gabarapl2",0,-1.71990787181176,0.753,1,0
"266","Gabbr1",0,-3.31296947392816,0.371,0.998,0
"267","Gabra1",0,-10.5056302935669,0.213,0.938,0
"268","Gabra4",0,-7.96741163627349,0.09,0.822,0
"269","Gabrb1",0,-6.71463401225652,0.528,0.942,0
"270","Gabrb2",0,-9.24886632204919,0.169,0.948,0
"271","Gabrb3",0,-7.70225824211752,0.14,0.985,0
"272","Gabrg2",0,-9.69637441680615,0.096,0.993,0
"273","Gabrg3",0,-8.45055903228998,0.371,0.948,0
"274","Gad1",0,-11.1822393319595,0.185,1,0
"275","Gad2",0,-10.4110639365156,0.124,0.999,0
"276","Galntl6",0,-7.59394249013409,0.393,0.989,0
"277","Gap43",0,-8.66461328876983,0.135,0.912,0
"278","Gapdh",0,-2.80840711238931,0.921,1,0
"279","Gdap1",0,-8.24053426941177,0.039,0.965,0
"280","Gdap1l1",0,-6.5187455765913,0.067,0.953,0
"281","Gde1",0,-3.05738020604166,0.444,0.997,0
"282","Gdf10",0,-4.26010968373387,0,0.249,0
"283","Gfra4",0,-5.21619028143873,0.051,0.916,0
"284","Ggt7",0,-7.6765631997735,0.062,0.953,0
"285","Glrb",0,-6.38018020906637,0.169,0.994,0
"286","Gm10059",0,1.38269459477796,0.843,0.576,0
"287","Gm10076",0,0.806595784735572,0.955,0.993,0
"288","Gm10116",0,2.24900166062289,0.966,0.62,0
"289","Gm10269",0,1.53913695258557,0.899,0.937,0
"290","Gm11223",0,-4.20973025844206,0.242,0.997,0
"291","Gm12164",0,2.22930992372608,0.949,0.44,0
"292","Gm12166",0,2.69722547799546,0.888,0.59,0
"293","Gm12346",0,-3.13288880665124,0.331,0.996,0
"294","Gm13493",0,-1.32532574405699,0.983,1,0
"295","Gm13509",0,-3.07069498844058,0.534,0.998,0
"296","Gm14204",0,-6.97816936519798,0.006,0.884,0
"297","Gm14303",0,1.94525365837717,1,0.989,0
"298","Gm14539",0,-2.57883448592994,0.68,1,0
"299","Gm15427",0,1.67860775479142,0.994,0.994,0
"300","Gm1673",0,-6.76287513679127,0.067,0.999,0
"301","Gm17241",0,1.30225886492367,0.826,0.643,0
"302","Gm20071",0,-6.05263366307101,0.039,0.861,0
"303","Gm20746",0,1.86688591368203,0.927,0.377,0
"304","Gm26740",0,6.22051161994636,0.494,0.209,0
"305","Gm29907",0,-7.04675170124072,0.528,0.93,0
"306","Gm32337",0,-4.27534923435569,0,0.205,0
"307","Gm32952",0,0.910570159444216,0.989,0.978,0
"308","Gm4149",0,1.38648504285184,0.944,0.983,0
"309","Gm5905",0,1.5101296805699,0.904,0.913,0
"310","Gm6485",0,1.37112626611266,0.91,0.884,0
"311","Gm6977",0,1.41288779989021,0.961,0.84,0
"312","Gm7618",0,2.12247456653962,0.91,0.548,0
"313","Gm8814",0,1.90863385908724,0.938,0.438,0
"314","Gm9843",0,0.939697174442468,0.961,0.988,0
"315","Gnai1",0,-5.40982385382508,0.129,0.979,0
"316","Gnal",0,-5.6711493461789,0.264,0.946,0
"317","Gnao1",0,-7.21882552622226,0.185,0.998,0
"318","Gnas",0,-3.08183041307296,0.888,1,0
"319","Gnb5",0,-5.90975020661442,0.135,0.978,0
"320","Gng13",0,-5.00044673666807,0.056,0.956,0
"321","Gng3",0,-8.45739934453768,0.202,1,0
"322","Gng4",0,-7.58910426440823,0.017,0.814,0
"323","Gnl3l",0,-4.1758407766756,0.124,0.996,0
