gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,color
Bbc3,0.017380203,-0.116716646,0.495,0.374,1,NO
Coprs,0.017143506,-0.116797079,0.732,0.547,1,NO
Chmp2b,0.002968468,-0.116813665,0.669,0.468,1,NO
Aifm2,0.144184492,-0.116817389,0.279,0.189,1,NO
Ranbp9,0.000573075,-0.116842489,0.901,0.804,1,NO
Tmem126a,0.001703989,-0.11692061,0.847,0.709,1,NO
Bcl2l10,0.045777612,-0.116967495,0.131,0.131,1,NO
Colgalt1,0.000159126,-0.117059753,0.847,0.714,1,NO
Plekhh3,0.023466312,-0.117098283,0.489,0.387,1,NO
Dnajc7,3.97E-05,-0.117273223,0.939,0.818,1,NO
Gm6733,0.079089411,-0.117275716,0.11,0.128,1,NO
Cramp1l,0.002137536,-0.117310558,0.748,0.662,1,NO
Sparcl1,3.48E-08,-0.117352236,0.986,0.973,0.001400645,NO
Stk38l,0.006200751,-0.117385329,0.732,0.601,1,NO
Psma1,2.47E-06,-0.117385699,0.946,0.894,0.099211503,NO
Dnajc21,0.004201016,-0.117388341,0.736,0.572,1,NO
Rnf6,0.008228039,-0.117462046,0.716,0.581,1,NO
Sepn1,0.025083585,-0.117689531,0.7,0.509,1,NO
Kbtbd7,0.178388949,-0.117726446,0.347,0.187,1,NO
Fgfr1op,0.013535733,-0.117818035,0.755,0.583,1,NO
Mfhas1,0.017901658,-0.117868829,0.709,0.55,1,NO
Klhl2,0.000416771,-0.11788102,0.86,0.721,1,NO
Kansl1l,6.74E-05,-0.117884447,0.894,0.811,1,NO
Asxl2,0.000455365,-0.117988303,0.903,0.788,1,NO
Mkln1os,0.004950056,-0.118066223,0.516,0.471,1,NO
Snord96a,0.049795094,-0.118093166,0.106,0.144,1,NO
Rfwd2,2.75E-06,-0.118127712,0.932,0.824,0.110443614,NO
Psph,0.001839331,-0.118308217,0.698,0.543,1,NO
Abcb9,0.009684102,-0.118445506,0.757,0.568,1,NO
Asun,0.078658699,-0.118668082,0.615,0.464,1,NO
Parp1,0.002648618,-0.118771795,0.775,0.649,1,NO
Tppp,0.00085002,-0.118914232,0.815,0.673,1,NO
Gm6776,0.045028387,-0.118941073,0.124,0.144,1,NO
