"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"6305","LOC102643091",4.39011930222385e-09,-1.9392573432161,0.09,0.144,0.000184626467255024
"6306","Dcaf13",4.41435013586328e-09,-1.04833895676412,0.213,0.858,0.00018564549496373
"6307","Hebp1",4.43386768695939e-09,3.20388103189073,0.32,0.229,0.000186466305575077
"6308","LOC105245340",4.44753870787148e-09,3.66574151794868,0.264,0.196,0.000187041240359535
"6309","AI413582",4.50869094075719e-09,-0.551790895008895,0.618,0.987,0.000189612997513543
"6310","Gm29214",4.51986203803136e-09,-2.59167076481214,0.006,0.151,0.000190082798009409
"6311","Atpaf2",4.60902876212069e-09,-1.59014573643462,0.14,0.736,0.000193832704590986
"6312","Exosc4",4.62526480277583e-09,-0.895215279955177,0.23,0.889,0.000194515511280738
"6313","Cldnd1",4.65285289160011e-09,-0.870219020956026,0.275,0.909,0.000195675728356243
"6314","Elp3",4.68402135012494e-09,-0.92116177101212,0.18,0.789,0.000196986517879504
"6315","Rbm3",4.75145009494342e-09,-0.639550759761779,0.461,0.964,0.000199822233742845
"6316","Fam89b",4.76726204439289e-09,2.2056995452952,0.511,0.58,0.000200487205276943
"6317","Zmynd8",4.79962079212744e-09,-0.752053242222417,0.758,0.953,0.00020184805241292
"6318","Gm34985",4.88110080930884e-09,-2.68456393664973,0.017,0.122,0.000205274694535483
"6319","Fmr1",4.90308540861798e-09,-1.10986502125976,0.309,0.916,0.000206199256859429
"6320","Fzd1",4.91009073410136e-09,-3.08406426478847,0,0.111,0.000206493865822633
"6321","Denr",4.96622741742119e-09,-0.731603603435483,0.545,0.982,0.000208854694039648
"6322","Rnr1",5.13657182231382e-09,-0.191385171757178,0.972,1,0.000216018527987408
"6323","Chmp7",5.16068081840887e-09,-1.3522251946618,0.202,0.849,0.000217032431818185
"6324","6330409D20Rik",5.19496724776468e-09,-1.86173011031747,0.011,0.158,0.000218474347604744
"6325","Cmss1",5.22408586852589e-09,-1.10841001496616,0.258,0.796,0.000219698931200856
"6326","4930429B21Rik",5.26757447138012e-09,-2.44318763124017,0.017,0.142,0.000221527844393891
"6327","Ruvbl2",5.29434912823116e-09,-0.914108842283889,0.303,0.916,0.000222653852587761
"6328","Ppp1r2-ps2",5.3268895660691e-09,-0.48112819289547,0.039,0.322,0.000224022340701036
"6329","3010026O09Rik",5.33678583200993e-09,-1.09806865909564,0.152,0.682,0.000224438528165177
"6330","Slx4ip",5.37316021025285e-09,1.99316668950989,0.376,0.696,0.000225968252642183
"6331","Ccdc28a",5.38796787559446e-09,-1.13446906588068,0.146,0.751,0.000226590989008125
"6332","Adam10",5.41816517864933e-09,1.8142229991114,0.82,0.813,0.000227860936588098
"6333","Itfg3",5.42564323889039e-09,2.57466614883344,0.506,0.264,0.000228175426411535
"6334","Zfp35",5.43807781021245e-09,-1.89368695790117,0.124,0.564,0.000228698362308485
"6335","Ppp2r5e",5.46391035319774e-09,-0.729163878000816,0.826,0.962,0.000229784749903731
"6336","Gm5529",5.46418627383375e-09,-0.287748457979095,0.478,0.727,0.000229796353746078
"6337","Tnnt1",5.54401127223593e-09,-3.73912165532824,0.017,0.209,0.000233153394053882
"6338","Galnt10",5.5961863395152e-09,2.99319125414703,0.399,0.218,0.000235347616508312
"6339","Atp6v1g1",5.6495121979151e-09,-0.247653887799204,0.865,1,0.00023759023548332
"6340","Tgm2",5.69247748403715e-09,3.69524913705494,0.185,0.158,0.000239397140591182
"6341","Fam53b",5.83834090028115e-09,3.13878599537154,0.416,0.3,0.000245531426561324
"6342","Cd2ap",5.89059590011853e-09,1.97503600903588,0.607,0.711,0.000247729010579485
"6343","Ptprm",6.00354661562656e-09,-1.27396851234538,0.478,0.807,0.000252479152920175
"6344","Rbbp4",6.03302782848342e-09,-0.694870197421325,0.567,0.984,0.00025371898532687
"6345","Sorbs3",6.06390035029278e-09,3.14920024975733,0.208,0.093,0.000255017329231563
"6346","Lrrfip2",6.10404809200407e-09,-1.32541763268094,0.23,0.838,0.000256705742509231
"6347","Rps14",6.35200406549555e-09,0.804110550559169,0.978,1,0.000267133530974415
"6348","Snora30",6.41847284119709e-09,-0.680203944305583,0.039,0.324,0.000269928875336543
"6349","Cetn3",6.44309193447596e-09,-0.679099360969411,0.579,0.996,0.000270964231304386
"6350","Ift88",6.48286850055169e-09,-1.33195991985597,0.219,0.653,0.000272637034790701
"6351","Pou6f1",6.51302788964595e-09,-0.766229343466019,0.287,0.851,0.00027390538789906
"6352","Pip5k1c",6.51613388447324e-09,-1.16855592978965,0.326,0.891,0.000274036010511522
"6353","Rab3gap2",6.53280269007972e-09,-1.0794442645332,0.511,0.94,0.000274737017131303
"6354","Zfp260",6.57658060136735e-09,-1.00620207411955,0.393,0.876,0.000276578097190504
"6355","BC107364",6.58894903035019e-09,0.736444993841655,0.489,0.336,0.000277098251471377
"6356","Il4ra",6.65546764024218e-09,3.85339329872715,0.433,0.12,0.000279895691610385
"6357","2410089E03Rik",6.70560798140946e-09,-0.914828542740494,0.433,0.92,0.000282004343658175
"6358","Ift122",6.81864183755493e-09,-1.55548726305907,0.079,0.553,0.000286757982478373
"6359","Scaf1",6.95083062548544e-09,-1.02315912998809,0.365,0.889,0.00029231718195479
"6360","3110053B16Rik",6.95934449739613e-09,-1.49082248246176,0.096,0.607,0.000292675232837994
"6361","Rxfp1",6.97843119005835e-09,-3.92286659370879,0.073,0.229,0.000293477923697904
"6362","Pik3r2",7.02594716196102e-09,-1.01846566709814,0.169,0.753,0.000295476207896271
"6363","Gm12543",7.06643527263343e-09,1.1868749949096,0.478,0.447,0.000297178935390599
"6364","Zfp672",7.07277621060512e-09,-1.23074737429913,0.163,0.738,0.000297445603536998
"6365","Snx15",7.07284773276363e-09,-0.760887352905716,0.225,0.851,0.000297448611401374
"6366","Fto",7.30696025771851e-09,-0.598505085547878,0.551,0.98,0.000307294213638352
"6367","Ube2e3",7.33119347244996e-09,-0.666059848510172,0.551,0.964,0.000308313341483883
"6368","5930430L01Rik",7.3422616488075e-09,-2.29433021180421,0.011,0.156,0.000308778813640599
"6369","Shh",7.43823020721962e-09,-1.62315130835353,0.006,0.162,0.000312814771364621
"6370","Zfp451",7.54262302208922e-09,-1.13069364385299,0.219,0.88,0.000317205011193962
"6371","Rps13",7.55571845066785e-09,-0.201233244090927,0.826,1,0.000317755739442836
"6372","Arrdc3",7.64292592781063e-09,2.66344140402593,0.522,0.382,0.000321423249894076
"6373","Cxxc5",7.74773391001274e-09,1.96768355571262,0.601,0.736,0.000325830949585586
"6374","Gm12033",7.77645565633051e-09,-0.45231409089366,0.028,0.311,0.00032703884262698
"6375","LOC105244278",7.80979743820911e-09,-1.62815928760363,0.219,0.527,0.000328441031263884
"6376","Ipcef1",7.83228680453503e-09,-2.96230935819013,0.039,0.224,0.000329386821564721
"6377","Slc30a4",7.90675091216898e-09,-1.27240545356783,0.101,0.593,0.000332518409611267
"6378","Gm5575",7.92014126674562e-09,-0.35648256759517,0.157,0.353,0.000333081540972987
"6379","Gm5913",7.92550211080989e-09,-0.438317293970517,0.107,0.456,0.00033330699127011
"6380","Dennd2a",8.12856199194502e-09,-1.51713464639108,0.287,0.602,0.000341846674571248
