"","sample_id","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","Glutamatergic","Astrocyte","Endothelial","GABAergic","Microglia","Oligo.OPC"
"141","SM-GE5UQ_S192_E1-50","Glutamatergic","Superficial.Layers_on",190.691225662379,0.871404077939302,NA,0.378496243959364,-Inf,0.126381464827532,NA,0.113996894845574,0.538028791141139,0.090222855086105
"142","SM-GE5V9_S111_E1-50","Glutamatergic","Superficial.Layers_on",109.97306968781,0.502545311440446,NA,0.264423383466707,-Inf,0.15754516953447,NA,0.12401712573691,0.0903249286495012,0.134543226495311
"143","SM-GE5V9_S121_E1-50","Glutamatergic","Superficial.Layers_on",206.268583776747,0.942588126063331,NA,0.508081547872422,-Inf,0.204075776422598,NA,0.0513750779520693,0.197718436179359,0.124975933455656
"144","SM-GE5V9_S123_E1-50","Glutamatergic","Superficial.Layers_on",218.087561238483,0.996597455131593,NA,0.473503639344973,-Inf,0.627699934321703,NA,0.063785300442684,0.0714444751169329,0.0473646788724567
"145","SM-GE5V9_S127_E1-50","Glutamatergic","Superficial.Layers_on",229.399510170758,1.04828980958988,NA,0.590342951114818,Inf,0.0599780407322617,NA,0.113013515950973,0.0473364900995207,0.0635260691242972
"146","SM-GE5V9_S128_E1-50","Glutamatergic","Superficial.Layers_on",156.388969092501,0.714652627243637,NA,0.362753014157991,-Inf,0.0702335301268531,NA,-0.00960081668017046,0.196052799473824,0.0828503501464987
"147","SM-GE5V9_S131_E1-50","Glutamatergic","Superficial.Layers_on",128.564324882124,0.587502002730577,NA,0.297334222684972,-Inf,0.000567991142056339,NA,-0.0239192498523648,0.291438755799663,0.00269297101249677
"148","SM-GE5V9_S133_E1-50","Glutamatergic","Superficial.Layers_on",194.735684384449,0.889886091525542,NA,0.512835648757048,-Inf,0.0428529876549817,NA,0.104094930299579,0.107392788646982,0.0387772800402324
"149","SM-GE5V9_S134_E1-50","Glutamatergic","Superficial.Layers_on",159.071033969258,0.726908892642245,NA,0.378322948663666,-Inf,0.100855946549765,NA,0.120675928164885,0.400808812554236,0.00743377448289578
"150","SM-GE5VE_S072_E1-50","Glutamatergic","Deep.Layers_on",196.013321595883,0.895724526263706,NA,0.371475280623639,-Inf,0.0393311046289015,NA,0.0698029354994871,0.441254458135176,0.170756791702919
