"","sample_id","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","GABAergic","Astro","Endo","Glutamatergic","Microglia","Oligo","Peri","SMC","VLMC"
"2526","SM-GE681_S080_E1-50","GABAergic","Sst_on",130.31965665572,0.591828322975265,NA,0.331044981842852,-Inf,0.240020085725884,NA,0.169341071307306,0.113076715384435,0.0673546708547009,NA,NA,-0.018271533127817
"2527","SM-GE681_S081_E1-50","GABAergic","Sst_on",200.948448174707,0.91257900872085,NA,0.505541780515162,-Inf,0.0260346372380579,NA,0.238280359973277,0.0173740781819484,0.0302664527933062,NA,NA,0.015230962480057
"2528","SM-GE681_S083_E1-50","GABAergic","Serpinf1_on",268.315274501435,1.21851594004995,NA,0.529285421977334,Inf,0.0429827423023788,NA,-0.0403709713425431,0.00637403638100301,0.0491701903251683,NA,NA,0.049319776259633
"2529","SM-GE681_S086_E1-50","GABAergic","Sst_on",142.276216439769,0.646127351281034,NA,0.205974405277348,-Inf,0.0429061184489681,NA,0.100268462458083,0.343684868615524,0.133350747477395,NA,NA,0.0194375903813274
"2530","SM-GE681_S088_E1-50","GABAergic","Sst_on",229.684415706962,1.04307934850163,NA,0.436359030549921,Inf,0.0838789474792151,NA,0.400444124721068,0.281483235929635,0.0421920913492014,NA,NA,0.00380787267902825
"2531","SM-GE8WI_S136_E1-50","GABAergic","Sst_on",187.28579390549,0.850531993166603,NA,0.275790727675185,-Inf,0.153869704456603,NA,0.0839219868511651,0.238783141052099,0.811670520319031,NA,NA,-0.000655649333890521
"2532","SM-GE8WI_S137_E1-50","GABAergic","Sst_on",116.720854034493,0.530071280666179,NA,0.179087596584613,-Inf,0.229779094583523,NA,0.0511442235164229,0.722055030697759,0.079553379244096,NA,NA,0.0312348523148271
"2533","SM-GE8WI_S138_E1-50","GABAergic","Sst_on",192.429262239344,0.87389032848161,NA,0.197279433406766,-Inf,0.227210219621259,NA,0.136276525444323,0.813355088920128,0.170536210831468,NA,NA,0.0671919382962506
"2534","SM-GE8WI_S139_E1-50","GABAergic","Sst_on",167.972025419726,0.762821240187415,NA,0.375641325529073,-Inf,0.0463090828936054,NA,0.0909593714678307,0.0750615720088073,0.053668178204871,NA,NA,-0.0151386034713662
"2535","SM-GE8WI_S141_E1-50","GABAergic","Sst_on",174.323724506753,0.791666584897381,NA,0.345589931163684,-Inf,0.206232144920943,NA,0.124013682704259,0.286287427842138,0.347721998625376,NA,NA,-0.0150585585685681
"2536","SM-GE8WI_S162_E1-50","GABAergic","Sst_on",207.805214021312,0.943718042817224,NA,0.337942597457955,-Inf,0.0333704436244103,NA,0.124327192823257,0.401625501276094,0.0304498126608535,NA,NA,0.00343145943802669
"2537","SM-GE8WI_S163_E1-50","GABAergic","Sst_on",162.329974629962,0.737198663035695,NA,0.271130625093638,-Inf,0.18380435181589,NA,0.133455387065636,0.516123568051989,0.100447376776258,NA,NA,0.0110157286758553
"2538","SM-GE8WI_S164_E1-50","Glutamatergic","NP_on",72.0652679570021,0.29832327894813,NA,0.124807937869042,0.330915653060533,0.803743729080196,NA,-Inf,0.550494251497868,0.193939144413998,NA,NA,0.0538700366007244
"2539","SM-GE8WI_S165_E1-50","GABAergic","Sst_on",119.579136392563,0.543051766480651,NA,0.189643260458326,-Inf,0.612694927030025,NA,0.0211873353899517,0.438057018373696,0.103248452574208,NA,NA,-0.0168951061240737
