ephys_session_id,adapt,avg_rate,first_isi,isi_cv,latency,mean_isi,median_isi,stim_amp,threshold_v,peak_v,trough_v,fast_trough_v,slow_trough_v,adp_v,width,upstroke_downstroke_ratio,peak_t,fast_trough_t,trough_t,slow_trough_t,rheo_first_isi,v_baseline,rheobase_i,fi_fit_slope,sag,vm_for_sag,input_resistance,tau
774421971,0.174437954,8.000160003,0.01424,0.507875214,0.04348,0.122114286,0.15682,119.9999924,-47.91875076,47.29999924,-56.69375229,-56.60625076,,,0.00102,1.59864654,0.579,0.58198,0.58222,,,-70.45285238,80,0.162715126,0.137995616,-82.89375305,131.0155839,0.020011294
737424138,,2.000040001,0.04728,0,0.08222,0.04728,0.04728,150,-40.02499771,53.00000381,-50.79375076,-50.66875458,,,0.00116,1.649923826,0.62642,0.62972,0.63,,,-67.77429835,110,0.05445364,0.052412059,-74.97499847,106.2499955,0.029537252
758834763,0.083742336,5.000100002,0.10678,0.25521274,0.07806,0.18137,0.1952,160,-42.78125381,35.82500458,-55.80624771,-55.70000458,,,0.00116,1.394793681,0.7093,0.71242,0.71282,,,-68.14783119,110,0.086292046,0.018560132,-77.23750305,106.6666245,0.043366347
689300515,0.025486274,13.00026001,0.04564,0.139043959,0.05988,0.075736667,0.07781,150,-31.93750191,46.56250381,-49.03125381,-48.96875,,,0.001,1.159314403,0.69848,0.70096,0.7012,,0.22298,-70.50066787,110,0.116381638,0.023430578,-88.78125,141.5624171,0.019345237
758312428,0.080154186,9.000180004,0.04082,0.263673078,0.03614,0.1177,0.1316,70,-33.43125153,55.60000229,-50.46249771,-44.91875458,,,0.00126,2.008863045,0.71446,0.71944,0.78624,,,-59.83201631,29.99999809,0.185003695,0.10025543,-84.75000763,296.890825,0.032127188
774356586,0.153406864,9.000180004,0.01204,0.487094602,0.04218,0.1111925,0.13743,150,-44.16250229,47.13750076,-54.30000305,-50.97500229,,,0.00108,1.654328685,0.60134,0.60436,1.4341,,,-67.38033447,110,0.199141908,0.100718416,-74.51250458,100.7386222,0.01473581
602165643,0.034937135,9.000180004,0.0707,0.165774234,0.07908,0.112535,0.11797,130,-40.59375,36.56250381,-58.18750381,-57.96875381,,,0.00076,1.027451013,0.76156,0.76396,0.76418,,,-80.49623571,80,0.102107305,0.023755906,-101.3437576,190.3646141,0.028268517
591422046,0.039737712,8.000160003,0.08622,0.148423104,0.07204,0.113134286,0.11462,110,-48.28125381,34.15625,-60.9375,-58.68750381,-60.9375,-57.59375,0.00088,1.235567556,0.67936,0.68182,0.72656,0.72656,0.3233,-79.15137247,70,0.136041682,0.025721211,-101.21875,197.395891,0.03267564
758816905,0.288698811,5.000100002,0.01,0.54778824,0.0761,0.17569,0.22582,190,-40.36875153,42.08749771,-47.6875,-47.6875,,,0.00118,1.528494226,0.6689,0.67172,0.6717,,0.02226,-69.87872399,150,0.088794879,0.032761272,-77.05625153,100.6248444,0.022699285
732765244,0.118296355,11.00022,0.011,0.416374192,0.04584,0.091202,0.10827,140,-37.84375381,51.18750381,-46.46875381,-46.4375,,,0.0011,1.673233752,0.5735,0.57616,0.5761,,0.01416,-67.23491001,100,0.0821445,0.024942741,-89.15625763,185.0000322,0.036514962
720834255,0.12962103,4.000080002,0.08068,0.62657166,0.04154,0.218933333,0.1702,190,-35.5625,46.96875,-50,-46.84375381,,,0.00082,1.172351137,0.58218,0.58426,0.62828,,,-75.28085813,150,0.113985331,0.052908245,-85.93750763,107.6563597,0.0134623
695496410,0.151704025,8.000160003,0.01116,0.374990115,0.07854,0.129125714,0.14838,180,-39.46875,42.75,-53.34375381,-46.93750381,,,0.00104,1.478507488,0.78032,0.78272,0.94314,,,-76.36755371,140,0.111242535,0.030427609,-88.59375,106.2499955,0.022966804
591337939,,2.000040001,0.71764,0,0.08266,0.71764,0.71764,210,-44.21875381,38.71875381,-61.68750381,-53.90625,,,0.00094,1.295462672,0.71386,0.71626,0.79086,,,-81.70276014,170,0.016410586,0.022317102,-91.84375763,90.62496573,0.019198489
737820113,,1.00002,,,0.06934,,,230,-34.73750305,41.50000381,-52.05624771,-45.76875305,,,0.00078,1.144362293,0.65062,0.65296,0.69508,,,-77.60504341,190,0.015000301,0.014098013,-86.91874695,124.2185533,0.02640797
